"","barcodes","treatment","timepoint","aifi_cell_type","UMAP_1","UMAP_2","cell_type_color","treatment_color"
"9313","0d4120d0fb8011ed8e8a7625f34dfd6b","lenalidomide",24,"t_cd4_naive",0.891347917891375,-1.35583638860714,"#93A7D1","#59C1BD"
"9314","4209decefb7b11ed933dc6f18f77c1a7","lenalidomide",24,"t_cd4_em",1.05554226336562,0.206371369819529,"#1C75BC","#59C1BD"
"9315","b7d91326fb8111edb32712c42668f295","lenalidomide",24,"t_cd4_cm",-0.773182895802625,2.60478169010151,"#00AEEF","#59C1BD"
"9316","adf10710fb8111edb32712c42668f295","lenalidomide",24,"t_cd4_treg",2.71324852404677,-1.5558966667844,"#E57A93","#59C1BD"
"9317","44511632fb8211ed9d09f6494964bb81","lenalidomide",24,"t_cd8_naive",-6.58390924038804,0.83735519931782,"#8DC63F","#59C1BD"
"9318","fde33be6ff2111edaa5fda2b1e723be2","lenalidomide",24,"t_cd4_cm",0.00418606696211499,3.16550880954731,"#00AEEF","#59C1BD"
"9319","1ee7933cfb8011ed8e8a7625f34dfd6b","lenalidomide",24,"t_cd4_cm",1.23444894251906,0.385678830604441,"#00AEEF","#59C1BD"
"9320","f3bb8006fb7f11ed898e2a71e2203848","lenalidomide",24,"t_cd4_naive",-0.544054475449689,-2.98762911273967,"#93A7D1","#59C1BD"
"9321","fdc8b8b6fb7f11ed898e2a71e2203848","lenalidomide",24,"t_cd4_naive",-0.876524356030591,-3.3370100827409,"#93A7D1","#59C1BD"
"9322","ca294736fb7b11ed8d7c62b1232be981","lenalidomide",24,"t_cd4_naive",-0.647038069390424,-2.64549582912456,"#93A7D1","#59C1BD"
"9323","24ec139afb8311ed9fae72654f839162","lenalidomide",24,"t_cd4_naive",-0.540631738328107,-1.89977851225864,"#93A7D1","#59C1BD"
"9324","cf8c64e0fb8711edbbcffe1e90e63656","lenalidomide",24,"t_cd4_cm",-0.91404798331178,2.90739399478901,"#00AEEF","#59C1BD"
"9325","b4d4fc12fb8111edb32712c42668f295","lenalidomide",24,"t_cd4_naive",-0.170940127991803,-3.39573067142498,"#93A7D1","#59C1BD"
"9326","ccedbf60fb7b11ed8d7c62b1232be981","lenalidomide",24,"t_cd4_naive",-0.591477718972333,-4.59615772678386,"#93A7D1","#59C1BD"
