treatment,timepoint,bg_treatment,bg_timepoint,population,target,nomP,mean_mfi,sd_mfi,max_mfi,mean_lfc,max_lfc,adjP
bor_len,24,dmso,24,t_cd4_em,Helios,0.0160295785432983,1209.6,292.147736599139,1617,0.512010840638162,0.759736901824864,0.0160295785432983
bor_len,24,dmso,24,t_cd4_em,Ikaros,0.00858057956463582,29103.4,4482.88130558907,34832,-1.20114126533406,-0.76116073659287,0.00858057956463582
bor_len,24,dmso,24,t_cd4_naive,Aiolos,0.0136686007314879,3949,934.06022289786,5415,-1.47254093239977,-1.12902590552226,0.0136686007314879
bor_len,24,dmso,24,t_cd4_naive,Helios,0.00418934838230196,951.4,601.503782199248,1706,0.697405899235964,1.25040679750604,0.00418934838230196
bor_len,24,dmso,24,t_cd4_naive,Ikaros,0.0013166584362637,27684.8,2461.00237708134,31096,-1.14095146319399,-0.77548676871001,0.0013166584362637
bor_len,24,dmso,24,t_cd4_temra,Aiolos,0.00089758148442732,9799.4,1275.79771123795,11970,-1.01480529639087,-0.756074417113911,0.00089758148442732
bor_len,24,dmso,24,t_cd4_temra,Helios,0.838943759408425,1264.2,271.428075187516,1607,0.180306531580604,0.602257062189009,0.838943759408425
bor_len,24,dmso,24,t_cd4_temra,Ikaros,0.00984879680368469,28589,6021.4930457487,38171,-1.36617664143344,-0.860425197482524,0.00984879680368469
bor_len,24,dmso,24,t_cd4_treg,Aiolos,0.000486889929557612,5447,653.732361138716,6528,-1.00881953318891,-0.88260965049559,0.000486889929557612
bor_len,24,dmso,24,t_cd4_treg,Helios,0.101067486642644,46799.2,5532.64414181863,51954,-0.0922989897971321,0.00467270057353053,0.101067486642644
bor_len,24,dmso,24,t_cd4_treg,Ikaros,0.0079032084224692,26070.2,2510.18957451424,29314,-0.979909094855128,-0.616313128655586,0.0079032084224692
bor_len,24,dmso,24,t_cd8_cm,Aiolos,0.00186464723543727,7843.4,898.798253224827,9379,-1.14191380557131,-0.852774046816822,0.00186464723543727
bor_len,24,dmso,24,t_cd8_cm,Helios,0.00790038059845447,2175.8,568.490281359321,2770,0.228920341212887,0.364044885093716,0.00790038059845447
