gene,x_lfc,x_fdr,x_dir,y_lfc,y_fdr,y_dir,color
ABHD2,-0.0155043476372232,0.685342683765787,no,-0.0491283901558584,0.190829542101928,no,gray80
ABHD3,-0.0572924617504665,0.1861011586325,no,-0.0756552674727561,0.0221103931210636,dn,skyblue
ABI1,-0.0170440340400493,0.670250898891472,no,0.00359535322277149,0.993227282716978,no,gray80
ABI2,0.0278600525992182,0.695354352576807,no,0.129079234399086,8.496816668763e-05,up,orange
ABL1,-0.0123773178610521,0.917440131656035,no,0.00131604199246871,0.993123051888132,no,gray80
ABL2,0.0109899530458336,0.814623198708951,no,0.0387181906996299,0.551574918178904,no,gray80
ABLIM1,-0.242452595968043,3.13412911324905e-11,dn,0.118142659492178,0.0311973730819531,up,limegreen
ABR,0.00303315178155666,0.987335738702253,no,-0.0421687199277494,0.11742746000116,no,gray80
ABRACL,0.0109145480498285,0.871092358638625,no,0.0205757688150967,0.401929243088894,no,gray80
ABRAXAS1,0.0156558243182083,0.739329184138609,no,-0.0265587704163088,0.486707982862424,no,gray80
ABRAXAS2,0.0111784834451735,0.800394049748734,no,0.00105428144057967,0.997991598308279,no,gray80
ABTB1,0.00966469702166731,0.772029399823476,no,0.000206462664568127,0.996602006934887,no,gray80
AC000065.1,-0.0173945779940931,0.650652213105384,no,-0.0309358237278098,0.222498813626386,no,gray80
AC002460.2,0.0195905197413105,0.14952992785495,no,0.041197026461341,0.109265900217952,no,gray80
AC002463.1,0.0221794506719368,0.772404595592908,no,0.0254585079773927,0.690587855906542,no,gray80
AC004039.1,0.0321576911237985,0.0939779936522285,no,-0.0323913457301519,0.149496309368973,no,gray80
AC004687.1,-0.0707717159813697,0.00450607818655973,dn,-0.103592465229309,2.158259375723e-05,dn,darkblue
AC004797.1,0.0238639829781332,0.480286288537473,no,0.00261571133956225,0.98606812000036,no,gray80
AC004889.1,0.01331659915166,0.752830496794082,no,-0.0201699388225988,0.0634464450272368,no,gray80
AC004951.1,-0.0109110503727359,0.676487085655345,no,0.0411554828020585,0.287730660346191,no,gray80
AC005037.1,0.00953575672249775,0.846167520372473,no,0.039376875875769,0.197143216668934,no,gray80
AC005261.1,-0.00321882157354991,0.934803416722488,no,-0.000834735259575295,0.950224155937902,no,gray80
AC005480.1,0.00249723737378102,0.671434017695186,no,-0.00639286790485519,0.943506101484803,no,gray80
AC005670.3,-0.0164726574290198,0.392760314039273,no,0.0239212119748324,0.329911833891899,no,gray80
AC005726.1,0.00316445414368212,0.954772296977484,no,0.00122386340220679,0.756313184636749,no,gray80
AC006001.2,0.00420354606775331,0.978429079463144,no,-0.00572606446701254,0.444276784278454,no,gray80
AC006059.1,0.0335559024447016,0.487023895065798,no,0.0141070088143589,0.908141060453003,no,gray80
AC006206.2,0.00476930581772295,0.76516185477261,no,-0.00962836470508409,0.929935384820459,no,gray80
AC006299.1,0.0227663855008442,0.700720766138988,no,0.130023250243068,6.14935403947282e-07,up,orange
AC006504.5,0.00239547761368269,0.671434017695186,no,-0.0245706405237107,0.438488815089447,no,gray80
AC007038.1,0.0459227401609991,0.0939779936522285,no,0.00552839919271342,0.798916102733767,no,gray80
AC007216.4,0.0250923614706776,0.0209343037251679,up,0.0171971635866718,0.501902595280165,no,orange
AC007384.1,0.00412023353819238,0.885765101552415,no,0.0377199126958703,0.0484319999534527,up,orange
AC007728.1,-0.034477229388924,0.0992993283891538,no,-0.0494047498668476,0.00285656210265023,dn,skyblue
AC008014.1,-0.0159995712426227,0.818941993048676,no,0.222020236989943,1.35900152913308e-14,up,orange
AC008083.2,0.0280412810942403,0.212024184213515,no,-0.0250047980377804,0.320152118979288,no,gray80
AC008083.3,0.0693237198802566,0.000968391703612468,up,-0.036702467376951,0.12266143079065,no,orange
AC008105.3,-0.104247682738923,0.00026560125185668,dn,-0.0382206783583723,0.590869096852134,no,skyblue
AC008124.1,0.0102609163343805,0.721290979030266,no,0.0196403780321388,0.367210586495244,no,gray80
AC008443.1,0.0145834224127135,0.415179066896783,no,0.0131591146157429,0.554598277568766,no,gray80
AC008735.2,-0.000871055393756398,0.938822046490748,no,-0.0252675599705521,0.431117525415396,no,gray80
AC008771.1,0.0153717238179561,0.697906888082367,no,0.0310941407001018,0.333646510459994,no,gray80
AC008875.3,-0.0696571625697978,0.00115812087906685,dn,0.0352399429242015,0.475534824580772,no,skyblue
AC008892.1,0.161706417626628,3.56048394666896e-16,up,0.0858837682013809,9.51982282688305e-05,up,darkred
AC008937.2,-0.00440701350613713,0.855355488389663,no,-0.0202816032510377,0.406115375917564,no,gray80
AC008969.1,-0.0133295623503938,0.686089431466489,no,-0.0137341545899287,0.685155627429479,no,gray80
AC009041.2,0.0106923656683109,0.401402049412421,no,0.00268073680737518,0.980611336288165,no,gray80
AC009061.2,-0.0124735806337108,0.902296218710826,no,-0.0140174655263311,0.771759756197792,no,gray80
AC009093.2,0.0334145948356682,0.267380608362582,no,-0.000258496031416672,0.429036067182693,no,gray80
AC009120.2,0.00217335413116504,0.915043493901957,no,-0.0025166752745242,0.710347921626891,no,gray80
AC009126.1,0.026635094727266,0.632829863464185,no,0.0296550914415997,0.621670559355629,no,gray80
AC009133.3,-0.015128033636328,0.596806722624585,no,-0.0591993050044564,1.67765492011025e-05,dn,skyblue
AC009318.1,0.00738763786033902,0.740995101889254,no,-0.0194144966013311,0.529466879153738,no,gray80
AC009505.1,0.00829275884206657,0.850758065377913,no,-0.00774652460861378,0.95259766625984,no,gray80
