aifi_cell_type,gene,fg,timepoint,treat_time,logFC,nomP,adjP,treat_order,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos
t_cd4_cm,IL7R,bortezomib,72,bortezomib_72,0.16937640297361,0.00347243776861977,0.00909994102201476,7,CD4 CM,#00AEEF,2,6
t_cd4_cm,SLAMF1,bortezomib,72,bortezomib_72,-0.361240511855642,4.19636816541483e-23,9.66966149227533e-22,7,CD4 CM,#00AEEF,2,6
t_cd4_cm,TNFRSF4,bortezomib,72,bortezomib_72,-0.19784161907076,9.0648074039229e-17,1.43355922982316e-15,7,CD4 CM,#00AEEF,2,6
t_cd4_em,CD69,bortezomib,72,bortezomib_72,-0.708938370044055,3.65503999645595e-13,1.24438129765272e-11,7,CD4 EM,#1C75BC,3,5
t_cd4_em,CD74,bortezomib,72,bortezomib_72,-0.535902075491644,9.46559542138879e-15,3.94209029781931e-13,7,CD4 EM,#1C75BC,3,5
t_cd4_em,CXCR4,bortezomib,72,bortezomib_72,-0.560527817580205,1.54146580398927e-10,3.9776036913314e-09,7,CD4 EM,#1C75BC,3,5
t_cd4_em,IL2RA,bortezomib,72,bortezomib_72,-0.161174178380517,0.0376445015966198,0.103617850383072,7,CD4 EM,#1C75BC,3,5
t_cd4_em,IL6ST,bortezomib,72,bortezomib_72,-0.00711135562936371,0.755853683816702,0.81492123192252,7,CD4 EM,#1C75BC,3,5
t_cd4_em,IL7R,bortezomib,72,bortezomib_72,0.317435909989423,7.76345205617727e-05,0.000659023446415949,7,CD4 EM,#1C75BC,3,5
t_cd4_em,SLAMF1,bortezomib,72,bortezomib_72,-0.64150373778673,6.67816649288841e-20,4.4959626148363e-18,7,CD4 EM,#1C75BC,3,5
t_cd4_em,TNFRSF4,bortezomib,72,bortezomib_72,-0.29194901257551,9.77372861974131e-10,2.29094151992575e-08,7,CD4 EM,#1C75BC,3,5
t_cd4_naive,CD69,bortezomib,72,bortezomib_72,-0.319021154695238,2.46006377820555e-20,1.92554000543398e-19,7,CD4 Naive,#93A7D1,1,7
t_cd4_naive,CD74,bortezomib,72,bortezomib_72,-0.685370072935088,1.08709879041104e-124,1.0988977894777e-122,7,CD4 Naive,#93A7D1,1,7
t_cd4_naive,CXCR4,bortezomib,72,bortezomib_72,-0.549627369685016,4.28609925488753e-58,1.22508540426768e-56,7,CD4 Naive,#93A7D1,1,7
t_cd4_naive,IL2RA,bortezomib,72,bortezomib_72,-0.0777081628024535,0.000163057813809323,0.000321500052013673,7,CD4 Naive,#93A7D1,1,7
t_cd4_naive,IL6ST,bortezomib,72,bortezomib_72,-0.352550658471181,1.33170273979153e-20,1.05128419144114e-19,7,CD4 Naive,#93A7D1,1,7
t_cd4_naive,IL7R,bortezomib,72,bortezomib_72,0.585421075551459,4.27409547884585e-61,1.29299187679392e-59,7,CD4 Naive,#93A7D1,1,7
t_cd4_naive,SLAMF1,bortezomib,72,bortezomib_72,-0.0915065804824015,2.49130928811463e-06,6.57867559387773e-06,7,CD4 Naive,#93A7D1,1,7
t_cd4_treg,CD69,bortezomib,72,bortezomib_72,-0.274432306355147,0.0515143427091074,0.252616814381147,7,CD4 Treg,#E57A93,4,4
