aifi_cell_type,timepoint,fg,bg,n_sample,gene,coef_C,coef_D,logFC,nomP,adjP,direction_sign,direction,complex,y_offset,order,gene_ypos,treat_label,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos
t_cd4_cm,24,bortezomib,dmso,648,PSMD14,0.363606277067783,2.24284535866144,1.02460147602606,4.96398901023189e-88,2.10820613264548e-84,1,up,RP 19S lid,4,24,28,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMD2,0.133726438656674,1.35710225530577,0.348159563490857,3.9159940709749e-23,1.10874845462869e-20,1,up,RP 19S base,5,35,40,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMD3,0.122820007611575,1.2987188466948,0.24121857818747,3.0263558468068e-17,4.50980115136438e-15,1,up,RP 19S lid,4,32,36,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMD4,0.0508323626476897,1.31770987363311,0.306267920968454,4.58148259910074e-20,9.97823415301581e-18,1,up,RP 19S base,5,34,39,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMD5,-0.0336001225872023,0.018908403558696,-0.00220737709793806,0.67199091708519,0.846959762353038,-1,dn,RP-associated,0,2,2,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMD6,0.115850251363735,1.10196189597971,0.255077009581553,4.91730958820434e-16,6.05327936843589e-14,1,up,RP 19S lid,4,31,35,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMD7,0.115103792667408,1.23758168151191,0.447185110173762,6.16344936397703e-27,2.0419621023874e-24,1,up,RP 19S lid,4,30,34,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMD8,0.0503464353781601,0.553722048854697,0.142205662453652,3.77642714093684e-05,0.000940673669651539,1,up,RP 19S lid,4,29,33,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMD9,0.0232749112444172,0.535485943111396,0.081746157866507,0.00633528975568389,0.0614523597677162,1,up,RP 19S lid,4,28,32,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSME1,0.0459111396230477,-0.368225880174186,-0.0997087582609588,0.00224933722822826,0.0282213743228521,-1,dn,PA28 11S,3,23,26,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSME2,0.00980494936856372,-0.141185931545134,-0.0288320840631019,0.57154401996899,0.78865062261087,-1,dn,PA28 11S,3,22,25,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSME4,0.177177351007144,0.732074492426873,0.367216963942768,2.28938656969896e-15,2.52849897768537e-13,1,up,PA200,2,20,22,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMF1,0.0156765534669851,0.131141355071087,0.0459288163101454,0.487236803283609,0.734564026006295,1,up,RP-associated,0,4,4,Bor/DMSO,CD4 CM,#00AEEF,2,6
