barcodes,treatment,timepoint,seurat_clusters,aifi_cell_type,cell_type_label,cell_type_color,UMAP_1,UMAP_2,treatment_color,timepoint_color
c799a1bcfb8711edbbcffe1e90e63656,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-7.96298777923138,0.397737788874794,#FF9F45,#F24C3D
ca6174f8fb7b11ed8d7c62b1232be981,bortezomib,72,9,t_cd4_em,CD4 EM,#1C75BC,7.76784336700886,-0.641123783867669,#FF9F45,#F24C3D
d2289d56fb7b11ed8d7c62b1232be981,bortezomib,72,12,t_cd4_naive,CD4 Naive,#93A7D1,-6.3774322257951,1.36694471808164,#FF9F45,#F24C3D
4a52ab1afb7b11ed933dc6f18f77c1a7,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-5.68764817580731,2.15022652121275,#FF9F45,#F24C3D
d035c866fb7b11ed8d7c62b1232be981,bortezomib,72,1,t_cd4_cm,CD4 CM,#00AEEF,9.11696159973591,-2.6327570202759,#FF9F45,#F24C3D
2f31ea3efb8111eda35df29f570c0793,bortezomib,72,1,t_cd4_em,CD4 EM,#1C75BC,10.0287724746749,-3.7433174374512,#FF9F45,#F24C3D
c32850e6fb7e11edb9e426a51887eecf,bortezomib,72,4,t_cd4_cm,CD4 CM,#00AEEF,4.64984119072407,-3.97903544930727,#FF9F45,#F24C3D
cfa5ecb6fb7e11edb9e426a51887eecf,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-5.75581872329266,1.35638039084165,#FF9F45,#F24C3D
9fdd6bcefb8011edb519365d129239e0,bortezomib,72,1,t_cd4_em,CD4 EM,#1C75BC,9.35757172241657,-3.48772819070132,#FF9F45,#F24C3D
434e6f66fb7b11ed8a1abe9d4c5fcb23,bortezomib,72,1,t_cd4_em,CD4 EM,#1C75BC,9.4625245346114,-3.83419830827029,#FF9F45,#F24C3D
fc188adcff2111edaa5fda2b1e723be2,bortezomib,72,12,t_cd4_naive,CD4 Naive,#93A7D1,9.69167435303181,-3.7773259404114,#FF9F45,#F24C3D
8fcc6158fb8111ed99031af2246d8fa2,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.47147643432171,2.81914942236631,#FF9F45,#F24C3D
02b15450fb8011ed898e2a71e2203848,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-5.3676346527055,2.66312901945798,#FF9F45,#F24C3D
cf08c7cefb7e11edb9e426a51887eecf,bortezomib,72,2,t_cd4_naive,CD4 Naive,#93A7D1,5.99165499344318,0.991528081614662,#FF9F45,#F24C3D
44c3312efb7b11ed8a1abe9d4c5fcb23,bortezomib,72,11,t_cd4_em,CD4 EM,#1C75BC,9.6767350448653,0.618883776385475,#FF9F45,#F24C3D
c7871bdefb7b11ed8d7c62b1232be981,bortezomib,72,3,t_cd4_naive,CD4 Naive,#93A7D1,-5.61492097243817,-3.82630474595339,#FF9F45,#F24C3D
c9059a26fb7b11ed8d7c62b1232be981,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.80297648772747,1.73897402258604,#FF9F45,#F24C3D
8c5168f8fb8011edb519365d129239e0,bortezomib,72,4,t_cd4_em,CD4 EM,#1C75BC,4.06541860237568,-4.28740103272707,#FF9F45,#F24C3D
8c7b67f6fb8111ed99031af2246d8fa2,bortezomib,72,4,t_cd4_em,CD4 EM,#1C75BC,9.1771708740279,-3.19810874490054,#FF9F45,#F24C3D
43852a0efb8211ed9d09f6494964bb81,bortezomib,72,11,t_cd4_cm,CD4 CM,#00AEEF,9.75915157928913,0.766439127642799,#FF9F45,#F24C3D
fcd62cf4fb7f11ed898e2a71e2203848,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.82391059264691,0.60182433100431,#FF9F45,#F24C3D
ff3c6422fb7f11ed898e2a71e2203848,bortezomib,72,1,t_cd4_em,CD4 EM,#1C75BC,9.2410136474654,-2.97829039124758,#FF9F45,#F24C3D
19c2b5f8fb8011ed8e8a7625f34dfd6b,bortezomib,72,2,t_cd4_cm,CD4 CM,#00AEEF,6.24771559372394,-0.364787682052564,#FF9F45,#F24C3D
801703d0fb8111ed99031af2246d8fa2,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.8820275054887,2.08016841383665,#FF9F45,#F24C3D
f0504d3efb7f11ed898e2a71e2203848,bortezomib,72,5,t_cd4_cm,CD4 CM,#00AEEF,6.88673985138386,-2.11981053380282,#FF9F45,#F24C3D
