gene,n_cells,n_nonzero,frac_nonzero,sum,mean,mean_nonzero,seurat_clusters,feature,feature_name,xpos,aifi_cell_type,n_type,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos,ypos,color,scaled_mean
UBE2E2,568,4,0.00704225352112676,5.24496212383764,0.00923408824619302,1.31124053095941,10,rna_UBE2E2,UBE2E2,7.5,t_cd4_treg,504,CD4 Treg,#E57A93,4,4,1,#FF66A8,0
MAF,568,273,0.480633802816901,463.753594568093,0.816467596070585,1.69873111563404,10,rna_MAF,MAF,8.5,t_cd4_treg,504,CD4 Treg,#E57A93,4,4,1,#FF66A8,0.497638474567056
CCL5,568,13,0.022887323943662,18.6317153017131,0.0328023156720301,1.43320886936255,10,rna_CCL5,CCL5,9.5,t_cd4_treg,504,CD4 Treg,#E57A93,4,4,1,#FF66A8,0.253684101117522
FOXP3,568,238,0.419014084507042,413.207908631593,0.727478712379566,1.73616768332602,10,rna_FOXP3,FOXP3,10.5,t_cd4_treg,504,CD4 Treg,#E57A93,4,4,1,#FF66A8,0.762028575070656
UBE2E2,550,7,0.0127272727272727,15.6068400960069,0.0283760729018307,2.22954858514384,11,rna_UBE2E2,UBE2E2,7.5,t_cd4_cm,491,CD4 CM,#00AEEF,2,6,4,#A58AFF,1
MAF,550,225,0.409090909090909,385.818227485094,0.701487686336535,1.71474767771153,11,rna_MAF,MAF,8.5,t_cd4_cm,491,CD4 CM,#00AEEF,2,6,4,#A58AFF,0.520861839217352
CCL5,550,20,0.0363636363636364,26.5966780673153,0.0483575964860278,1.32983390336577,11,rna_CCL5,CCL5,9.5,t_cd4_cm,491,CD4 CM,#00AEEF,2,6,4,#A58AFF,0.0861681178437184
FOXP3,550,5,0.00909090909090909,6.16076936854669,0.0112013988519031,1.23215387370934,11,rna_FOXP3,FOXP3,10.5,t_cd4_cm,491,CD4 CM,#00AEEF,2,6,4,#A58AFF,0
UBE2E2,525,152,0.28952380952381,321.7809265419,0.612916050556,2.11697977988092,12,rna_UBE2E2,UBE2E2,7.5,t_cd4_naive,320,CD4 Naive,#93A7D1,1,7,11,#99A800,0.877417164370958
MAF,525,78,0.148571428571429,126.61406473462,0.241169647113562,1.62325724018744,12,rna_MAF,MAF,8.5,t_cd4_naive,320,CD4 Naive,#93A7D1,1,7,11,#99A800,0.388204419831259
CCL5,525,10,0.019047619047619,14.8291789943558,0.0282460552273444,1.48291789943558,12,rna_CCL5,CCL5,9.5,t_cd4_naive,320,CD4 Naive,#93A7D1,1,7,11,#99A800,0.334236070058732
FOXP3,525,9,0.0171428571428571,12.6656629681207,0.0241250723202298,1.40729588534674,12,rna_FOXP3,FOXP3,10.5,t_cd4_naive,320,CD4 Naive,#93A7D1,1,7,11,#99A800,0.264800715806894
UBE2E2,314,136,0.43312101910828,283.366314189717,0.902440491050053,2.08357583963027,13,rna_UBE2E2,UBE2E2,7.5,t_cd4_naive,313,CD4 Naive,#93A7D1,1,7,10,#53B400,0.841041636465653
MAF,314,10,0.0318471337579618,13.5552255649231,0.0431695081685449,1.35552255649231,13,rna_MAF,MAF,8.5,t_cd4_naive,313,CD4 Naive,#93A7D1,1,7,10,#53B400,0
CCL5,314,6,0.0191082802547771,8.84861494117047,0.0281803023604155,1.47476915686175,13,rna_CCL5,CCL5,9.5,t_cd4_naive,313,CD4 Naive,#93A7D1,1,7,10,#53B400,0.321031280953953
FOXP3,314,3,0.00955414012738853,4.0057768907924,0.0127572512445618,1.33525896359747,13,rna_FOXP3,FOXP3,10.5,t_cd4_naive,313,CD4 Naive,#93A7D1,1,7,10,#53B400,0.155886650783909
