aifi_cell_type,fg,bg,direction,feature,tf_gene,Enrichment,nomP,adjP,mlog10Padj,mlog10p,BackgroundProporition,nBackground,BackgroundFrequency,CompareProportion,nCompare,CompareFrequency,timepoint,tf_adjP,tf_logFC,tf_direction,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos,color
t_cd4_cm,dexamethasone,dmso,up,MLXIP_78,MLXIP,0,1,1,0,0,0.0218595762816723,72737,1590,0,55,0,4,0.601489297105464,-0.00189684651781455,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,SREBF2_99,SREBF2,0.944186750897841,0.622873708944029,1,0,0.2056,0.0577697732928221,72737,4202,0.0545454545454545,55,3,4,0.616434067110115,0.0529866487478536,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,MGA_103,MGA,0.848657267865824,0.695024317588797,1,0,0.158,0.06427265353259,72737,4675,0.0545454545454545,55,3,4,0.922620276801119,0.0105216087382116,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,NFE2L1_106,NFE2L1,0.44468423305007,0.899497581530035,1,0,0.046,0.0408870313595557,72737,2974,0.0181818181818182,55,1,4,0.964574668423057,0.00585678884366549,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,CREM_108,CREM,1.37568402471315,0.373078309318472,1,0,0.4282,0.0396496968530459,72737,2884,0.0545454545454545,55,3,4,0.335306444320584,-0.083434617070794,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,XBP1_109,XBP1,0.799088162592694,0.718124923883474,1,0,0.1438,0.022753206758596,72737,1655,0.0181818181818182,55,1,4,1.79048686600888e-19,0.367064101701587,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,dexamethasone,dmso,up,BACH2_113,BACH2,1.30038437472066,0.33970348320338,1,0,0.4689,0.0699093996178011,72737,5085,0.0909090909090909,55,5,4,0.0258858156279668,-0.171101260349662,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,dexamethasone,dmso,up,ATF2_114,ATF2,3.95009232106006,0.00862382629151766,0.077614436623659,1.11005749056068,2.0643,0.0230144218210814,72737,1674,0.0909090909090909,55,5,4,0.55903999365646,-0.0066185178250725,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,NFE2L2_115,NFE2L2,1.08954597881934,0.489553319813954,1,0,0.3102,0.0834375902223078,72737,6069,0.0909090909090909,55,5,4,0.61558650006734,-0.0599509199293836,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,ATF6_116,ATF6,0.448150087797665,0.897635458909379,1,0,0.0469,0.0405708236523365,72737,2951,0.0181818181818182,55,1,4,0.8542233199596,0.0120043054787319,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,CREB1_117,CREB1,0.636118763391491,0.797260045366531,1,0,0.0984,0.0285824271003753,72737,2079,0.0181818181818182,55,1,4,0.592105205512291,-0.0126720427561159,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,ATF1_118,ATF1,0.69641438077457,0.766655048689174,1,0,0.1154,0.0261077580873558,72737,1899,0.0181818181818182,55,1,4,0.947995914781792,-0.00240587876251522,dn,CD4 CM,#00AEEF,2,6,gray60
